  ordprog   | cpnmcol | cpstato | cpprgcl | cpdteva  
 3017225950 |       1 | H       | 1000144 | 20200110
 3017225952 |       1 | H       | 1000145 | 20200110
 3017203428 |       3 | H       | 1000145 | 20200109
 3017190374 |       3 | H       | 1000145 | 20200108
 3017190378 |       1 | H       | 1000146 | 20200108
 3017225953 |       1 | H       | 1000146 | 20200110
 3017203438 |       1 | H       | 1000146 | 20200109
 3017203438 |       2 | H       | 1000147 | 20200109
 3017190378 |       2 | H       | 1000147 | 20200108
 3017225953 |       1 | H       | 1000147 | 20200110
 3017225954 |       1 | H       | 1000148 | 20200110
 3017190378 |       3 | H       | 1000148 | 20200108
 3017203449 |       1 | H       | 1000148 | 20200109
 3017190379 |       1 | H       | 1000149 | 20200108
 3017225956 |       1 | H       | 1000149 | 20200110
 3017203457 |       1 | H       | 1000149 | 20200109
 3017190381 |       1 | H       | 1000150 | 20200108
 3017203457 |       1 | H       | 1000150 | 20200109
 3017225957 |       1 | H       | 1000150 | 20200110
 3017203457 |       2 | H       | 1000151 | 20200109
 3017190381 |       2 | H       | 1000151 | 20200108
 3017222916 |       1 | H       | 1000151 | 20200110
 3017222916 |       2 | H       | 1000152 | 20200110
 3017203457 |       3 | H       | 1000152 | 20200109
 3017190382 |       1 | H       | 1000152 | 20200108
 3017222916 |       3 | H       | 1000153 | 20200110
 3017190382 |       2 | H       | 1000153 | 20200108
 3017203469 |       1 | H       | 1000153 | 20200109
 3017190382 |       1 | H       | 1000154 | 20200108
 3017225894 |       1 | H       | 1000154 | 20200110
 3017203469 |       1 | H       | 1000154 | 20200109
 3017190383 |       1 | H       | 1000155 | 20200108
 3017203469 |       2 | H       | 1000155 | 20200109
 3017225891 |       1 | H       | 1000155 | 20200110
 3017203469 |       3 | H       | 1000156 | 20200109
 3017190385 |       1 | H       | 1000156 | 20200108
 3017224701 |       1 | E       | 1000156 | 20200110
 3017190386 |       1 | H       | 1000157 | 20200108
 3017203499 |       1 | H       | 1000157 | 20200109
 3017203499 |       1 | H       | 1000158 | 20200109
 3017224702 |       1 | H       | 1000158 | 20200110
 3017190386 |       1 | H       | 1000158 | 20200108
 3017203500 |       1 | H       | 1000159 | 20200109
 3017190387 |       1 | H       | 1000159 | 20200108
 3017226919 |       1 | E       | 1000159 | 20200110
 3017203500 |       1 | H       | 1000160 | 20200109
 3017190387 |       1 | H       | 1000160 | 20200108
 3017190389 |       1 | H       | 1000161 | 20200108
 3017203501 |       1 | H       | 1000161 | 20200109
 3017203502 |       1 | H       | 1000162 | 20200109
 3017190389 |       2 | H       | 1000162 | 20200108
 3017226937 |       1 | C       | 1000162 | 20200110
 3017226937 |       2 | C       | 1000163 | 20200110
 3017203503 |       1 | H       | 1000163 | 20200109
 3017190391 |       1 | H       | 1000163 | 20200108
 3017203503 |       2 | H       | 1000164 | 20200109
 3017190391 |       1 | H       | 1000164 | 20200108
 3017203503 |       1 | H       | 1000165 | 20200109
 3017190393 |       1 | H       | 1000165 | 20200108
 3017190393 |       1 | H       | 1000166 | 20200108
 3017203505 |       1 | H       | 1000166 | 20200109
 3017190394 |       1 | H       | 1000167 | 20200108
 3017203505 |       1 | H       | 1000167 | 20200109
 3017190394 |       2 | H       | 1000168 | 20200108
 3017203505 |       2 | H       | 1000168 | 20200109
 3017190394 |       3 | H       | 1000169 | 20200108
 3017203506 |       1 | H       | 1000169 | 20200109
 3017190395 |       1 | H       | 1000170 | 20200108
 3017203506 |       2 | H       | 1000170 | 20200109
 3017203506 |       1 | H       | 1000171 | 20200109
 3017190395 |       2 | H       | 1000171 | 20200108
 3017190398 |       1 | H       | 1000172 | 20200108
 3017203507 |       1 | H       | 1000172 | 20200109
 3017190398 |       2 | H       | 1000173 | 20200108
 3017203507 |       2 | H       | 1000173 | 20200109
 3017203507 |       1 | H       | 1000174 | 20200109
 3017190398 |       3 | H       | 1000174 | 20200108
 3017190398 |       4 | H       | 1000175 | 20200108
 3017203508 |       1 | H       | 1000175 | 20200109
 3017203508 |       2 | H       | 1000176 | 20200109
 3017190401 |       1 | H       | 1000176 | 20200108
 3017190401 |       2 | H       | 1000177 | 20200108
 3017203508 |       3 | H       | 1000177 | 20200109
 3017226995 |       1 | C       | 1000178 | 20200110
 3017190401 |       3 | H       | 1000178 | 20200108
 3017203508 |       1 | H       | 1000178 | 20200109
 3017190401 |       4 | H       | 1000179 | 20200108
 3017203508 |       2 | H       | 1000179 | 20200109
 3017203510 |       1 | H       | 1000180 | 20200109
 3017190902 |       1 | H       | 1000180 | 20200108
 3017190903 |       1 | H       | 1000181 | 20200108
 3017203510 |       2 | H       | 1000181 | 20200109
 3017190904 |       1 | H       | 1000182 | 20200108
 3017203511 |       1 | H       | 1000182 | 20200109
 3017190904 |       2 | H       | 1000183 | 20200108
 3017203512 |       1 | H       | 1000183 | 20200109
 3017190904 |       1 | H       | 1000184 | 20200108
 3017203512 |       1 | H       | 1000184 | 20200109
 3017203512 |       2 | H       | 1000185 | 20200109
 3017190905 |       1 | H       | 1000185 | 20200108
 3017203513 |       1 | H       | 1000186 | 20200109
 3017190905 |       1 | H       | 1000186 | 20200108
 3017203515 |       1 | H       | 1000187 | 20200109
 3017190906 |       1 | H       | 1000187 | 20200108
 3017203515 |       1 | H       | 1000188 | 20200109
 3017190906 |       2 | H       | 1000188 | 20200108
 3017190906 |       1 | H       | 1000189 | 20200108
 3017203515 |       2 | H       | 1000189 | 20200109
 3017190907 |       1 | H       | 1000190 | 20200108
 3017203515 |       3 | H       | 1000190 | 20200109
 3017190907 |       2 | H       | 1000191 | 20200108
 3017203516 |       1 | H       | 1000191 | 20200109
 3017190907 |       1 | H       | 1000192 | 20200108
 3017203516 |       2 | H       | 1000192 | 20200109
 3017190913 |       1 | H       | 1000193 | 20200108
 3017203517 |       1 | H       | 1000193 | 20200109
 3017203518 |       1 | H       | 1000194 | 20200109
 3017190913 |       1 | H       | 1000194 | 20200108
 3017203519 |       1 | H       | 1000195 | 20200109
 3017190913 |       2 | H       | 1000195 | 20200108
 3017205823 |       1 | H       | 1000196 | 20200109
 3017190921 |       1 | H       | 1000196 | 20200108
 3017205824 |       1 | H       | 1000197 | 20200109
 3017190921 |       2 | H       | 1000197 | 20200108
 3017190921 |       3 | H       | 1000198 | 20200108
 3017205824 |       1 | H       | 1000198 | 20200109
 3017205825 |       1 | H       | 1000199 | 20200109
 3017190921 |       1 | H       | 1000199 | 20200108
 3017205826 |       1 | H       | 1000200 | 20200109
 3017190927 |       1 | H       | 1000200 | 20200108
 3017205827 |       1 | H       | 1000201 | 20200109
 3017190927 |       2 | H       | 1000201 | 20200108
 3017205829 |       1 | H       | 1000202 | 20200109
 3017190927 |       1 | H       | 1000202 | 20200108
 3017205830 |       1 | H       | 1000203 | 20200109
 3017190938 |       1 | H       | 1000203 | 20200108
 3017205830 |       1 | H       | 1000204 | 20200109
 3017190938 |       2 | H       | 1000204 | 20200108
 3017190938 |       1 | H       | 1000205 | 20200108
 3017205831 |       1 | H       | 1000205 | 20200109
 3017190939 |       1 | H       | 1000206 | 20200108
 3017205832 |       1 | H       | 1000206 | 20200109
 3017205832 |       1 | H       | 1000207 | 20200109
 3017190939 |       1 | H       | 1000207 | 20200108
 3017190953 |       1 | H       | 1000208 | 20200108
 3017205833 |       1 | H       | 1000208 | 20200109
 3017205834 |       1 | H       | 1000209 | 20200109
 3017190953 |       2 | H       | 1000209 | 20200108
 3017190953 |       3 | H       | 1000210 | 20200108
 3017205835 |       1 | H       | 1000210 | 20200109
 3017190953 |       4 | H       | 1000211 | 20200108
 3017205836 |       1 | H       | 1000211 | 20200109
 3017190953 |       1 | H       | 1000212 | 20200108
 3017205838 |       1 | H       | 1000212 | 20200109
 3017205839 |       1 | H       | 1000213 | 20200109
 3017190953 |       2 | H       | 1000213 | 20200108
 3017205839 |       1 | H       | 1000214 | 20200109
 3017190953 |       3 | H       | 1000214 | 20200108
 3017205841 |       1 | H       | 1000215 | 20200109
 3017190953 |       4 | H       | 1000215 | 20200108
 3017190962 |       1 | H       | 1000216 | 20200108
 3017205842 |       1 | H       | 1000216 | 20200109
 3017190962 |       1 | H       | 1000217 | 20200108
 3017205843 |       1 | H       | 1000217 | 20200109
 3017190962 |       2 | H       | 1000218 | 20200108
 3017205844 |       1 | H       | 1000218 | 20200109
 3017190977 |       1 | H       | 1000219 | 20200108
 3017205845 |       1 | H       | 1000219 | 20200109
 3017205846 |       1 | H       | 1000220 | 20200109
 3017190977 |       2 | H       | 1000220 | 20200108
 3017190977 |       3 | H       | 1000221 | 20200108
 3017205847 |       1 | H       | 1000221 | 20200109
 3017190977 |       4 | H       | 1000222 | 20200108
 3017205848 |       1 | H       | 1000222 | 20200109
 3017190977 |       5 | H       | 1000223 | 20200108
 3017205848 |       1 | H       | 1000223 | 20200109
 3017205850 |       1 | H       | 1000224 | 20200109
 3017190977 |       6 | H       | 1000224 | 20200108
 3017190977 |       1 | H       | 1000225 | 20200108
 3017205851 |       1 | H       | 1000225 | 20200109
 3017190977 |       2 | H       | 1000226 | 20200108
 3017205852 |       1 | H       | 1000226 | 20200109
 3017205853 |       1 | H       | 1000227 | 20200109
 3017190977 |       3 | H       | 1000227 | 20200108
 3017190977 |       4 | H       | 1000228 | 20200108
 3017205854 |       1 | H       | 1000228 | 20200109
 3017205855 |       1 | H       | 1000229 | 20200109
 3017190982 |       1 | H       | 1000229 | 20200108
 3017190982 |       2 | H       | 1000230 | 20200108
 3017205857 |       1 | H       | 1000230 | 20200109
 3017190982 |       3 | H       | 1000231 | 20200108
 3017205858 |       1 | H       | 1000231 | 20200109
 3017190982 |       4 | H       | 1000232 | 20200108
 3017205859 |       1 | H       | 1000232 | 20200109
 3017205860 |       1 | H       | 1000233 | 20200109
 3017190987 |       1 | H       | 1000233 | 20200108
 3017190987 |       1 | H       | 1000234 | 20200108
 3017205861 |       1 | H       | 1000234 | 20200109
 3017205861 |       1 | H       | 1000235 | 20200109
 3017190998 |       1 | H       | 1000235 | 20200108
 3017205864 |       1 | H       | 1000236 | 20200109
 3017190998 |       2 | H       | 1000236 | 20200108
