  materiale  | ubicazione | ubicazione_mappa | ubicazione_mappa 
 99350113550 | 115-094    | 1051094          | 1.05.1.09.4
 99350113551 | 123-093    | 1032093          | 1.03.2.09.3
 99350113551 | 123-093    | 1032093          | 1.03.2.09.3
 99350113551 | 123-093    | 1032093          | 1.03.2.09.3
 99350113552 | 111-173    | 1011173          | 1.01.1.17.3
 99350113552 | 111-173    | 1011173          | 1.01.1.17.3
 99350113552 | 111-173    | 1011173          | 1.01.1.17.3
 99350113553 | 115-173    | 1051173          | 1.05.1.17.3
 99350113554 | 116-084    | 1061084          | 1.06.1.08.4
 99350113555 | 115-144    | 1051144          | 1.05.1.14.4
 99350113555 | 115-144    | 1051144          | 1.05.1.14.4
 99350113555 | 115-144    | 1051144          | 1.05.1.14.4
 99350113555 | 115-144    | 1051144          | 1.05.1.14.4
 99350113556 | 111-184    | 1011184          | 1.01.1.18.4
 99350113557 | 114-103    | 1041103          | 1.04.1.10.3
 99350113558 | 116-052    | 1061052          | 1.06.1.05.2
 99350113560 | 124-144    | 1042144          | 1.04.2.14.4
 99350113560 | 124-144    | 1042144          | 1.04.2.14.4
 99350113560 | 124-144    | 1042144          | 1.04.2.14.4
 99350113561 | 117-024    | 1071024          | 1.07.1.02.4
 99350113563 | 116-042    | 1061042          | 1.06.1.04.2
 99350113564 | 115-053    | 1051053          | 1.05.1.05.3
 99350113564 | 115-053    | 1051053          | 1.05.1.05.3
 99350113565 | 111-094    | 1011094          | 1.01.1.09.4
 99350113565 | 111-094    | 1011094          | 1.01.1.09.4
 99350113566 | 118-042    | 1081042          | 1.08.1.04.2
 99350113566 | 118-042    | 1081042          | 1.08.1.04.2
 99350113567 | 114-054    | 1041054          | 1.04.1.05.4
 99350113567 | 114-054    | 1041054          | 1.04.1.05.4
 99350113569 | 123-122    | 1032122          | 1.03.2.12.2
 99350114742 | 216-161    | 2061161          | 2.06.1.16.1
 99350114742 | 216-161    | 2061161          | 2.06.1.16.1
 99350114743 | 116-134    | 1061134          | 1.06.1.13.4
 99350115208 | 115-071    | 1051071          | 1.05.1.07.1
 99350115208 | 115-071    | 1051071          | 1.05.1.07.1
 99350115208 | 115-071    | 1051071          | 1.05.1.07.1
 99350115246 | 121-131    | 1012131          | 1.01.2.13.1
 99350115265 | 122-031    | 1022031          | 1.02.2.03.1
 99350115265 | 122-031    | 1022031          | 1.02.2.03.1
 99350115282 | 121-171    | 1012171          | 1.01.2.17.1
 99350115370 | 114-013    | 1041013          | 1.04.1.01.3
 99350115370 | 114-013    | 1041013          | 1.04.1.01.3
 99350115394 | 217-101    | 2071101          | 2.07.1.10.1
 99350115477 | 123-041    | 1032041          | 1.03.2.04.1
