      prcdpro       |                 prdescr                  | prlungh | prlargh | praltez | prpesgr | prflgpp 
 81274203           | Niox Trial Kit System 3                  |      60 |     110 |     180 |     460 |       1
 81311775           | SEB TRILLIANCE CONDITIONER 250ML         |      40 |      60 |     210 |     312 |       1
 81311779           | SEB TRILLIANCE CONDITIONER 1000ML        |      80 |      80 |     260 |    1068 |       1
 81311806           | SEB TEXTURIZER 500ML                     |      70 |      70 |     210 |     625 |       1
 81311317           | SP MEN MAXIMUM TONIC INTENSE 100 ML      |      60 |     160 |     160 |     860 |       1
 81292910           | COLOUR TOUCH PLUS 44/05_60 ML_3D         |     115 |      30 |     150 |     247 |       1
 81297081           | WP Straight-It Neutr  1000ml             |     100 |     100 |     290 |    1108 |       1
 81435145           | SP LUXE OIL 2ML SAMPLE 24PZ PROMO        |     190 |     150 |     110 |     354 |       1
 81339592           | WPS PEARL STYLER 2 pz comp.da:           |     100 |     152 |     186 |     930 |       1
 81438994           | NIOX DIABOOST TREAT 100ML DE, FR, IT, NL |     130 |     190 |     210 |     958 |       1
 81396964           | SEBASTIAN SHINE CARE GIFT BOX comp.by    |      70 |     140 |     220 |     702 |       1
 81397000           | SEBASTIAN SHINE STYLING GIFT BOX comp.by |      80 |     110 |     160 |     305 |       1
 81424828           | WPC OIL REFLECTIONS TESTER 1 PZ          |      50 |      50 |     160 |     261 |       1
 81116294           | COLOUR TOUCH L2C EMULSION 1000 ML 1.9%   |      90 |      90 |     270 |    1090 |       1
 81127149           | SEB TEXTURIZER 150 ML                    |      48 |      48 |     161 |     199 |       1
 81506056           | SP LUXEOIL 30ML SAMPLE                   |      70 |     110 |     130 |     423 |       1
 81211830           | SEB-250ML PENETRAITT CONDITIONER........ |      43 |      47 |     210 |     300 |       1
 81233514           | WPC BRILLANCE TR LEAVE-IN COLORAT 150ml  |      90 |     130 |     200 |    1165 |       1
 90104641           | EXCLUSIV NEW NO GAS FORTE 250 ML.        |     200 |     220 |     250 |    3200 |       1
 90104642           | EXCLUSIV NEW NO GAS EXTRA FORTE 250 ML.  |     200 |     220 |     250 |    3209 |       1
 81414375           | WPS PEARL STYLER 30ml                    |     320 |     170 |     120 |    2115 |       1
 81238128           | WPS STAY BRILLIANT 150ml                 |     130 |      90 |     200 |    1172 |       1
 81274206           | Niox Trial Kit System 4                  |      60 |     110 |     180 |     460 |       1
 81274110           | Niox Hair Booster 100ml                  |      40 |      60 |     160 |     136 |       1
 81274139           | Niox System 2 Scalp Therapy 1000ml       |      90 |      90 |     270 |    1076 |       1
 81311770           | SEB TRILLIANCE CONDITIONER 50ML          |      35 |      35 |     100 |      63 |       1
 81292905           | COLOUR TOUCH PLUS 77/03_60 ML_3D         |     115 |      30 |     150 |     247 |       1
 81116285           | COLOUR TOUCH L2C EMULSION 1000 ML 4%     |      90 |      90 |     269 |    1104 |       1
 81127098           | SEB CELLOPHANES HOT RED 300ML            |      47 |      75 |     240 |     342 |       1
 81130393           | SEB MATTE PUTTY 75ML                     |      70 |      70 |      70 |     132 |       1
 81153925           | REPAIR INFUSION 5 ML                     |      30 |      90 |     240 |     133 |       1
 81127181           | SEB POTION 9 500ML                       |      70 |      70 |     210 |     563 |       1
 81211826           | SEB-250ML LIGHT SHINE SHAMPOO... ....... |      50 |      70 |     220 |     301 |       1
 81127134           | SEB HYDRE TREATMENT 150ML                |      40 |      60 |     212 |     170 |       1
 81274131           | Niox System 1 Scalp Treatment 100ml      |      40 |      60 |     160 |     136 |       1
 81274170           | Niox System 4 Scalp Treatment 100ml      |      40 |      50 |     180 |     158 |       1
 81237596           | WPC ENRICH SCHIUMA SFRUTTATI 150ml       |     185 |     150 |     102 |    1306 |       1
 81274127           | Niox System 1 Scalp Therapy 300ml        |      60 |      60 |     220 |     343 |       1
 81234995           | WPC PRO COLOR REMOVER 150ml              |     100 |     132 |     200 |    1179 |       1
 81237924           | WPS TAKE SHAPE 18 ml                     |      70 |      80 |     100 |     312 |       1
 81237963           | WPS MIRROR POLISH 40 ml                  |      70 |     110 |     160 |     789 |       1
 81237976           | WPS SHIMMER DELIGHT 40ml                 |      70 |     110 |     160 |     778 |       1
 81274190           | Niox System 6 Scalp Therapy 300ml        |      60 |      60 |     220 |     341 |       1
 81292912           | COLOUR TOUCH PLUS 55/05_60 ML_3D         |     115 |      30 |     150 |     247 |       1
 81292894           | COLOUR TOUCH PLUS 55/07_60 ML_3D         |     115 |      30 |     150 |     247 |       1
 81292895           | Color Touch PLUS 66/07_60 ML_3D          |     115 |      30 |     150 |     247 |       1
 81292897           | COLOUR TOUCH PLUS 88/07_60 ML_3D         |     115 |      30 |     150 |     247 |       1
 81292898           | COLOUR TOUCH PLUS 55/04_60 ML_3D         |     115 |      30 |     150 |     247 |       1
 81292899           | COLOUR TOUCH PLUS 66/04_60 ML_3D         |     115 |      30 |     150 |     247 |       1
 81292903           | COLOUR TOUCH PLUS 66/03_60 ML_3D         |     115 |      30 |     150 |     247 |       1
 81274145           | Niox System 2 Scalp Treatment 100ml      |      40 |      50 |     180 |     152 |       1
 81297090           | WP Wave-It Neutr  1000ml                 |      94 |      94 |     275 |    1108 |       1
 81292893           | COLOUR TOUCH PLUS 44/07_60 ML_3D         |     115 |      30 |     150 |     247 |       1
 90191244           | WELLOXON PERFECT TR.1000 ML.  6%-20 VOL. |      90 |      90 |     269 |    1098 |       1
 81098103           | COLOR TOUCH PLUS EMULSION 1000 ML        |      94 |      94 |     273 |    1100 |       1
 81495658           | NIOXIN CHALLENGE BOX SYS 1 comp da       |      80 |     175 |     220 |     698 |       1
 81495659           | NIOXIN CHALLENGE BOX SYS 2 comp da       |      80 |     175 |     220 |     699 |       1
