ios|cpu|modulo|riga|colonna
  0|  0|    19|  18|      6
  0|  0|    19|  13|      6
  0|  0|    19|   8|      6
  0|  0|    19|   3|      6
  0|  0|    19|  17|      6
  0|  0|    19|  12|      6
  0|  0|    19|   7|      6
  0|  0|    19|   2|      6
  0|  0|    19|  21|      2
  0|  0|    19|  16|      6
  0|  0|    19|  11|      6
  0|  0|    19|   6|      6
  0|  0|    19|   1|      6
  0|  0|    19|  22|      1
  0|  0|    19|  21|      1
  0|  0|    19|  32|      2
  0|  0|    19|  32|      1
(622 rows)

